title,publisher,developer,Genre,consol,total_sales,critic_score,north_america_sales,japan_sales,europe_sales,other_sales
FIFA Soccer 11,EA Sports,EA Canada,Sports,X360,3.52,8.7,0.71,0.02,2.39,0.4
NBA 2K17,2K Sports,Visual Concepts,Sports,PS4,3.52,9.0,2.28,0.03,0.59,0.63
Mortal Kombat X,Warner Bros. Interactive Entertainment,NetherRealm Studios,Fighting,PS4,3.49,8.424999999999999,1.94,0.17972677595628417,0.94,0.61
FIFA Soccer 2004,EA Sports,EA Canada,Sports,PS2,3.49,8.0,0.59,0.04,2.36,0.51
Borderlands,2K Games,Gearbox Software,Shooter,X360,3.48,8.3,2.43,0.03,0.72,0.3
Battlefield: Bad Company 2,Electronic Arts,EA Digital Illusions CE,Shooter,X360,3.48,9.0,2.11,0.04,1.01,0.33
Mario & Sonic at the Olympic Winter Games,Sega,Sega,Sports,DS,3.47,7.6,1.21,0.27,1.63,0.37
Guitar Hero: On Tour,Activision,Vicarious Visions,Misc,DS,3.46,7.1,2.1,0.01,1.01,0.35
Tekken 4,Namco,Namco,Fighting,PS2,3.44,7.9,1.55,0.33,1.27,0.29
LEGO Batman: The Videogame,Warner Bros. Interactive,Traveller's Tales,Adventure,X360,3.44,7.5,2.07,0.17972677595628417,1.04,0.34
Halo: The Master Chief Collection,Microsoft Studios,43 Industries,Shooter,XOne,3.44,8.8,2.06,0.03,1.04,0.31
LittleBigPlanet 2,Sony Computer Entertainment,Media Molecule,Platform,PS3,3.43,9.1,1.83,0.06,1.07,0.47
FIFA 14,EA Sports,EA Canada,Sports,PS4,3.43,8.424999999999999,0.62,0.12,2.18,0.51
Grand Theft Auto 2,Rockstar Games,DMA Design,Action,PS,3.42,6.9,1.13,0.17972677595628417,2.07,0.22
Destiny,Activision,Bungie,Shooter,XOne,3.41,8.3,2.17,0.17972677595628417,0.92,0.32
Spider-Man 2,Activision,Treyarch,Action,PS2,3.41,7.9,1.75,0.02,1.2,0.43
FIFA Soccer 2003,EA Sports,EA Canada,Sports,PS2,3.4,8.424999999999999,0.46,0.05,2.28,0.61
Crash Bash,Sony Computer Entertainment,Eurocom Entertainment Software,Misc,PS,3.39,6.8,1.56,0.19,1.47,0.17
Gears of War 4,Microsoft Studios,The Coalition,Shooter,XOne,3.38,8.424999999999999,2.17,0.17972677595628417,0.9,0.32
The Elder Scrolls V: Skyrim Special Edition,Bethesda Softworks,Bethesda Softworks,Role-Playing,PS4,3.36,8.3,1.24,0.08,1.5,0.54
Watch Dogs 2,Ubisoft,Ubisoft,Action,PS4,3.36,8.424999999999999,0.98,0.12,1.74,0.52
